the_geom,OBJECTID,GlobalID,Location,Hydrant_ID,Hydrant Number,Street Number,Hydrant Type,Street Name,Hydrant Color & Main Size,Last Used,Nozzle Diameter,Main Diameter,Cross Street,Date Collected,Map Quad,Hydrant Color,Hydrant Valve,Y,Dead End,X,Map Number,Inspection District,Last Used By,Supply Diameter,Comments
POINT (-78.810933784924 42.947309811198),"5,508",{EF250E84-E5C5-4123-AC70-E67F9C5E7EA2},10S SWC; 10S POLE 71,4-5-A4D-0022,22,SWC,HOWARD IRON,SUFFOLK,"RED w/ RED CAP, 8",,,8,ROUNDS,06/15/2005 12:00:00 AM +0000,A4D,RED w/ RED CAP,NO,"1,073,954.74",NO,"1,087,355.26",4,5,,0,
POINT (-78.846609455333 42.907319049957),"7,758",{B8BE0AD4-72D8-42E4-8CB0-AFB80E1F5369},28W POLE 551,9-7-C2C-0102,102,OPP 550,KENNEDY K-11,NORTHAMPTON,"RED w/ RED CAP, 10",,,10,WOHLERS,12/05/2006 12:00:00 AM +0000,C2C,RED w/ RED CAP,YES,"1,059,408",NO,"1,077,758.0490000001",9,7,,0,
POINT (-78.875270668599 42.941277832781),"4,955",{29F75C70-8685-47AB-B4D7-254276EF2894},22E POLE 77,2-4-A2D-0024,24,81,MUELLER,ELMHURST,"RED w/ RED CAP, 6",,,6,LINCOLN PKWY,07/19/2005 12:00:00 AM +0000,A2D,RED w/ RED CAP,YES,"1,071,809.5900000001",NO,"1,070,122.4399999999",2,4,,0,
POINT (-78.872571644685 42.958634610527),"4,721",{63057801-EEDD-41A1-9B67-17DCEB83D4DE},5E SEC; OPP POLE 1471,2-4-A2A-0034,34,SEC,KENNEDY K-81,KENMORE,"RED w/ RED CAP, 6",,,6,GENOA,07/14/2005 12:00:00 AM +0000,A2A,RED w/ RED CAP,YES,"1,078,132.79",NO,"1,070,866.8899999999",2,4,,0,
POINT (-78.897887429122 42.907631367299),"7,315",{160047FB-51B2-4E0D-B55D-92B0D662099B},18E SEC; 18W POLE 73,8-2-C1D-0046,46,SEC,OTHER,NIAGARA,"RED w/ WHITE CAP, 36",,,36,MASSACHUSETTS,07/26/2006 12:00:00 AM +0000,C1D,RED w/ WHITE CAP,YES,"1,059,568.986",NO,"1,064,020.7169999999",8,2,,0,
POINT (-78.844806062008 42.864127725535),"3,688",{D1719F88-7570-4090-911C-BDA36A1B9A91},6S 3W BRIDGE FENCE POST; 8S OVERPASS,1718-11-F1B-0007,7,1337,KENNEDY K-11,SOUTH PARK,"RED w/ WHITE CAP, 16",,,16,LEE,06/07/2006 12:00:00 AM +0000,F1B,RED w/ WHITE CAP,YES,"1,043,665.547",NO,"1,078,192.3049999999","1,718",11,,0,
POINT (-78.826325183683 42.903605396325),"1,731",{235CB986-8D4D-4727-B7E8-295DDDA3201B},17N NWC; 17N 15E POLE 260,13-6-D3A-0054,54,NWC,KENNEDY K-81,WALDEN,"RED w/ RED CAP, 0",,,6,IVY,04/17/2006 12:00:00 AM +0000,D3A,RED w/ RED CAP,YES,"1,058,038.22",NO,"1,083,188.45",13,6,,0,
POINT (-78.834632847903 42.868344486298),"2,877",{96C11135-0589-4CD4-8163-0C53DEA4487D},22S STOP SIGN,15-11-E2C-0098,98,,KENNEDY K-81,PERRY,"RED w/ RED CAP, 8",,,8,GORHAM,09/26/2006 12:00:00 AM +0000,E2C,RED w/ RED CAP,YES,"1,045,194.025",NO,"1,080,924.273",15,11,,0,
POINT (-78.861888362679 42.938368007832),"6,114",{D2149905-587B-4EBB-BEF1-B932EE6CC6BA},15W NOTTINGHAM DVWY,6-4-B2A-0022,22,35,MUELLER,NOTTINGHAM,"RED w/ RED CAP, 8",,,8,MEADOW,10/11/2005 12:00:00 AM +0000,B2A,RED w/ RED CAP,NO,"1,070,736.95",NO,"1,073,702.1799999999",6,4,,0,
POINT (-78.811253149414 42.95785250919),"5,370",{266D87FD-4712-4174-91B2-AB5DA1BC2064},40NE NEC GARAGE,4-5-A4A-0003,3,GROVER CLEVELAND GOLF,KENNEDY K-81,MAIN,"OTHER, 8",,,8,BAILEY,06/13/2005 12:00:00 AM +0000,A4A,OTHER,YES,"1,077,797.27",YES,"1,087,280.1699999999",4,5,,0,
POINT (-78.831314533722 42.932675282833),"6,495",{B37BDA12-A64F-4958-B5B7-833B2158B3E0},,7-5-B3A-0079,79,SEC,KENNEDY K-81,LEROY,"RED w/ RED CAP, 6",,,6,CASTLE,02/24/2006 12:00:00 AM +0000,B3A,RED w/ RED CAP,YES,"1,068,636.6100000001",NO,"1,081,882.9099999999",7,5,,0,
POINT (-78.835934174491 42.907147186805),"7,684",{436B2DE0-A1BB-467C-956D-9AB8D5976745},30E POLE 831,9-7-C2C-0022,22,SWC,MUELLER,NORTHAMPTON,"RED w/ RED CAP, 10",,,10,E PARADE,12/05/2006 12:00:00 AM +0000,C2C,RED w/ RED CAP,YES,"1,059,336.5989999999",NO,"1,080,617.8489999999",9,7,,0,
POINT (-78.86668693056 42.915458120033),"7,132",{77A22914-8BDD-46A8-BE89-402904073152},12S CROSSWALK SIGN,8-2-C1B-0046,46,NEC,KENNEDY K-81,W FERRY,"RED w/ RED CAP, 12",,,12,LINWOOD,07/11/2006 12:00:00 AM +0000,C1B,RED w/ RED CAP,YES,"1,062,391.7420000001",NO,"1,072,389.1299999999",8,2,,0,
POINT (-78.865538698515 42.912038579735),"7,446",{C1CB7E94-BE0B-4284-8272-E2CFC140B010},,9-2-C2D-0002,2,OPP 1410,KENNEDY K-11,MAIN,"RED w/ WHITE CAP, 20",,,20,GLENWOOD,10/03/2006 12:00:00 AM +0000,C2D,RED w/ WHITE CAP,YES,"1,061,144.4609999999",NO,"1,072,692.53",9,2,,0,
POINT (-78.815308511067 42.841093998928),"4,365",{575748F6-5DCC-4712-8883-866EECBA57D6},50W 4S SWC,21-10-G2B-0027,27,SWC,MATHEWS NEW,MCKINLEY,"RED w/ RED CAP, 6",,,6,MARIEMONT,04/14/2005 12:00:00 AM +0000,G2B,RED w/ RED CAP,YES,"1,035,247.86",NO,"1,086,077.3200000001",21,10,,0,
POINT (-78.868864220873 42.877814676824),"2,503",{07C9ED59-5F25-4FBB-95C7-A67DF7486CFE},60S 6W POLE 218,14-11-E1B-0059,59,,MUELLER,EXCHANGE,"RED w/ WHITE CAP, 20",,,20,MICHIGAN,06/13/2006 12:00:00 AM +0000,E1B,RED w/ WHITE CAP,YES,"1,048,674.6470000001",NO,"1,071,759.3570000001",14,11,,0,
POINT (-78.899185577417 42.963065933293),"2,164",{EA6DCDD6-EE8C-48C5-991E-7523FA5540FF},5E SEC; 14S POLE 343,1-3-A1B-0031,31,SEC,HOWARD IRON,ROESCH,"RED w/ RED CAP, 6",,,6,ALBEMARLE,07/21/2005 12:00:00 AM +0000,A1B,RED w/ RED CAP,YES,"1,079,773.4299999999",NO,"1,063,748.8",1,3,,0,
POINT (-78.865794580613 42.939413723697),"6,136",{C61BFA07-50F9-49EB-864E-AA6FAB993814},25S PLOE 101,6-4-B2A-0044,44,101,MUELLER,MEADOW,"RED w/ RED CAP, 6",,,6,AMHERST,10/19/2005 12:00:00 AM +0000,B2A,RED w/ RED CAP,NO,"1,071,121.55",NO,"1,072,657.48",6,4,,0,
POINT (-78.854068839313 42.904799615805),"7,871",{CA1BA4DC-0631-4E84-9717-6475E2C81763},45N 45W POLE 1089; ~330N NWC,9-7-C2D-0103,103,NWC,MUELLER,JEFFERSON,"RED w/ WHITE CAP, 16",,,16,BEST,10/11/2006 12:00:00 AM +0000,C2D,RED w/ WHITE CAP,YES,"1,058,496.1370000001",NO,"1,075,756.6699999999",9,7,,0,
POINT (-78.850233939436 42.833413644329),"4,219",{231004C3-46EB-4BA8-A4AF-8609D878D756},47W 16S POLE 52,20-10-G1C-0005,5,OPP POLE 52,KENNEDY K-81,SHIP CANAL PARKWAY,"RED w/ RED CAP, 12",,,12,RIDGE,04/25/2005 12:00:00 AM +0000,G1C,RED w/ RED CAP,YES,"1,032,476.53",YES,"1,076,701.6599999999",20,10,,0,
POINT (-78.834879759352 42.936454635021),"6,289",{B9F5AB2F-5333-4016-ABC0-1A0C5D0D9020},S SEC,6-5-B2B-0106,106,SEC,KENNEDY K-81,HOLDEN,"RED w/ RED CAP, 12",,,12,CENTRAL PARK,11/04/2005 12:00:00 AM +0000,B2B,RED w/ RED CAP,YES,"1,070,016.8300000001",NO,"1,080,932.27",6,5,,0,
POINT (-78.81973206266 42.835470397093),"4,600",{71D82191-99C8-4FDA-8511-F158463B642E},29S 17W POLE 112,21-10-G2D-0029,29,109,MATHEWS NEW,CANTWELL,"RED w/ RED CAP, 6",,,6,SOUTH PARK,04/13/2005 12:00:00 AM +0000,G2D,RED w/ RED CAP,YES,"1,033,201.67",NO,"1,084,885.2",21,10,,0,
POINT (-78.897310613774 42.915073259568),"7,054",{663B1212-7F16-4888-8684-BA564191C1C9},38E SEC; 8N 34E POLE 909,8-2-C1A-0108,108,SEC,MUELLER,W FERRY,"RED w/ RED CAP, 8",,,8,WEST,07/24/2006 12:00:00 AM +0000,C1A,RED w/ RED CAP,YES,"1,062,280.5970000001",NO,"1,064,185.3689999999",8,2,,0,
POINT (-78.837162249545 42.888795934824),"1,644",{8D5D38F2-9674-4A3A-B982-701C072CFBCE},15S 31W POLE 103,12-9-D2C-0035,35,106,HOWARD IRON,LOMBARD,"RED w/ RED CAP, 6",,,6,PECKHAM,11/09/2006 12:00:00 AM +0000,D2C,RED w/ RED CAP,YES,"1,052,649.517",NO,"1,080,268.669",12,9,,0,
POINT (-78.823135692603 42.924200368498),"6,874",{6A0ADB79-6D00-493C-8D84-3E33405AC963},20N POLE 344,7-6-B3D-0048,48,344,MATHEWS OLD,CAMBRIDGE,"RED w/ RED CAP, 6",,,6,E DELAVAN,03/24/2006 12:00:00 AM +0000,B3D,RED w/ RED CAP,YES,"1,065,541.5800000001",NO,"1,084,064.3799999999",7,6,,0,
POINT (-78.817748181735 42.944482016733),"5,543",{4FE81775-139E-46E8-9FFA-B34D138C3352},5W SWC; 50SE POLE 164,4-5-A4D-0058,58,SWC,MUELLER,COMSTOCK,"RED w/ RED CAP, 6",,,6,SHIRLEY,06/16/2005 12:00:00 AM +0000,A4D,RED w/ RED CAP,YES,"1,072,929.1599999999",NO,"1,085,527.9399999999",4,5,,0,
POINT (-78.875160746571 42.95763408007),"4,711",{06D38C37-AE32-4E0C-89CA-EB54C17A35CA},26N 20E POLE 154,2-4-A2A-0024,24,151,MUELLER,RAMSDELL,"RED w/ RED CAP, 6",,,6,EUGENE,07/14/2005 12:00:00 AM +0000,A2A,RED w/ RED CAP,YES,"1,077,770.54",NO,"1,070,172.5600000001",2,4,,0,
POINT (-78.841939707819 42.931289144285),"6,307",{D2AA46D9-3E0E-4E1F-BFA8-12C6F87F59C4},25N 20W POLE 31,6-5-B2C-0004,4,SWC,HOWARD IRON,DEWEY,"RED w/ RED CAP, 6",,,6,HALBERT,03/28/2006 12:00:00 AM +0000,B2C,RED w/ RED CAP,YES,"1,068,140",NO,"1,079,035.96",6,5,,0,
POINT (-78.848365966499 42.897379111051),"1,251",{B9B87F94-CD7A-49C1-A88E-C839D37AF659},,12-8-D2B-0009,9,226,OTHER,JOHNSON,"RED w/ RED CAP, 6",,,6,GENESEE,01/01/1990 12:00:00 AM +0000,D2B,RED w/ RED CAP,YES,"1,055,786.8859999999",NO,"1,077,276.0589999999",12,8,,0,
POINT (-78.808970197506 42.916182581408),136,{1336CBF4-A1B9-4113-AEC5-30019DEB595B},20W 3N POLE 64,10-6-C3B-0046,46,53,HOWARD IRON,NEWBURGH,"RED w/ RED CAP, 6",,,6,KERNS,04/06/2006 12:00:00 AM +0000,C3B,RED w/ RED CAP,YES,"1,062,609.01",NO,"1,087,850.55",10,6,,0,
POINT (-78.841139914049 42.901464229269),"1,300",{8C5449AE-6514-4B3C-ABED-AB0E16FAC03C},15N POLE 315,12-8-D2B-0060,60,SEC,MUELLER,GENESEE,"RED w/ RED CAP, 6",,,6,STRAUSS,01/01/1990 12:00:00 AM +0000,D2B,RED w/ RED CAP,YES,"1,057,269.6850000001",NO,"1,079,216.844",12,8,,0,
POINT (-78.801533560043 42.910272513306),345,{3D7C1636-EA02-4E90-8FDE-1B2F1FDEE11A},5N POLE 135,10-6-C3C-0105,105,OPP 134,KENNEDY K-11,STEWART,"RED w/ RED CAP, 10",,,10,DOAT,04/11/2006 12:00:00 AM +0000,C3C,RED w/ RED CAP,YES,"1,060,449.8400000001",NO,"1,089,837.01",10,6,,0,
POINT (-78.854148577109 42.909336879674),"7,827",{DFBE42B9-B031-4F0E-A703-45051A2BC9F1},25W 16N POLE 1262,9-7-C2D-0058,58,SWC,KENNEDY K-81,JEFFERSON,"RED w/ RED CAP, 8",,,8,RILEY,10/11/2006 12:00:00 AM +0000,C2D,RED w/ RED CAP,YES,"1,060,149.804",NO,"1,075,740.628",9,7,,0,
POINT (-78.866392149703 42.943286380953),"4,921",{9F79CF47-3E56-4829-B149-43BC17093430},30E POLE 35,2-4-A2C-0084,84,41,HOWARD IRON,KNOX,"RED w/ RED CAP, 6",,,6,DELAWARE,07/08/2005 12:00:00 AM +0000,A2C,RED w/ RED CAP,NO,"1,072,533.48",NO,"1,072,502.22",2,4,,0,
POINT (-78.830014148371 42.903456197529),"1,746",{D23EED8B-3C1E-40D2-B5D9-E51CB43D9EDB},16S SWC; 14S 15E POLE 167,13-6-D3A-0069,69,SWC,KENNEDY K-81,WALDEN,"RED w/ RED CAP, 0",,,6,LATHROP,04/18/2006 12:00:00 AM +0000,D3A,RED w/ RED CAP,YES,"1,057,986.72",NO,"1,082,199.9299999999",13,6,,0,
POINT (-78.888315575122 42.943041129453),"2,274",{C8D7EAA6-EDD6-4C38-88E7-CBA7CCAC9DB4},68S SEC; 20S POLE 205,1-3-A1C-0048,48,SEC,MUELLER,CHANDLER,"RED w/ RED CAP, 8",,,8,HOWELL,08/04/2005 12:00:00 AM +0000,A1C,RED w/ RED CAP,YES,"1,072,464.6200000001",NO,"1,066,631.8600000001",1,3,,0,
POINT (-78.885767633545 42.91675002831),"7,024",{63EFC7F1-A660-42E3-ABD5-7EB675F4CD20},15S SWC; 30W POLE 45,8-2-C1A-0078,78,SWC,KENNEDY K-81,BRECKENRIDGE,"RED w/ RED CAP, 6",,,6,BAYNES,07/24/2006 12:00:00 AM +0000,C1A,RED w/ RED CAP,YES,"1,062,880.368",NO,"1,067,279.6299999999",8,2,,0,
POINT (-78.810589862929 42.925059382877),"6,720",{6434173E-07CE-45F5-907C-9C4498BF98E9},20S POLE 80,7-6-B3C-0035,35,SWC,HOWARD IRON,SUFFOLK,"RED w/ RED CAP, 8",,,8,GERALD,03/03/2006 12:00:00 AM +0000,B3C,RED w/ RED CAP,YES,"1,065,845.3200000001",NO,"1,087,425.4299999999",7,6,,0,
POINT (-78.870975178356 42.922306704125),"5,652",{18F13331-0587-4D72-B804-DF5A29E40FBD},72W POLE 772,5-2-B1C-0057,57,OPP 761,MUELLER,W DELAVAN,"RED w/ WHITE CAP, 36",,,36,CHAPIN,10/04/2005 12:00:00 AM +0000,B1C,RED w/ WHITE CAP,YES,"1,064,891.6000000001",NO,"1,071,248.96",5,2,,0,
POINT (-78.84105801187 42.891653657352),"1,397",{1B5EF077-0011-40F9-A3E9-5E45061A697D},65N POLE 23,12-8-D2C-0071,71,240,MUELLER,TOWNSEND,"RED w/ RED CAP, 6",,,6,BROADWAY,12/04/2006 12:00:00 AM +0000,D2C,RED w/ RED CAP,YES,"1,053,694.1780000001",NO,"1,079,227.841",12,8,,0,
POINT (-78.851576482994 42.944524771145),"5,099",{CD5CE74D-E683-4DB6-966A-4D6DE95428FB},15N NWC; OPP POLE 1,3-4-A3D-0046,46,NWC,KENNEDY K-81,WELLINGTON,"RED w/ RED CAP, 6",,,6,LINDEN,06/29/2005 12:00:00 AM +0000,A3D,RED w/ RED CAP,YES,"1,072,971.8100000001",NO,"1,076,470.5800000001",3,4,,0,
POINT (-78.809854084133 42.85578978603),"4,142",{9C7632DB-8ADD-4AD9-B148-D4A9CE2B64A0},30E 30N NEC; 5S 3W POLE 4,19-9-F2C-0001,1,NEC,KENNEDY K-81,SENECA,"RED w/ RED CAP, 6",,,6,WEYAND,08/29/2006 12:00:00 AM +0000,F2C,RED w/ RED CAP,YES,"1,040,599.679",NO,"1,087,554.5649999999",19,9,,0,
POINT (-78.826564200353 42.914606528196),70,{B2B1FEF6-B617-4DE4-8200-3D1507685675},20N 8E POLE,10-6-C3A-0070,70,NWC,HOWARD IRON,E FERRY,"RED w/ RED CAP, 6",,,6,SCHUELE,04/13/2006 12:00:00 AM +0000,C3A,RED w/ RED CAP,YES,"1,062,047.75",NO,"1,083,136",10,6,,0,
POINT (-78.828528641915 42.844216180427),"4,252",{B80944B5-19ED-4D73-A570-C43EF4805B30},46E POLE 94 LOCKWOOD,21-10-G2A-0026,26,100,HOWARD IRON,LOCKWOOD,"RED w/ RED CAP, 4",,,4,SOUTH PARK,10/29/2004 12:00:00 AM +0000,G2A,RED w/ RED CAP,YES,"1,036,395.76",NO,"1,082,535.0700000001",21,10,,0,
POINT (-78.877656894722 42.885726186778),738,{DD86AD54-C24A-472B-A174-06B9ACBE02A6},NWC NIAGARA AT NIAGARA SQ,11-1-D1C-0053,53,1,KENNEDY K-81,NIAGARA SQUARE,"RED w/ RED CAP, 16",,,16,NIAGARA,09/15/2006 12:00:00 AM +0000,D1C,RED w/ RED CAP,YES,"1,051,566.0859999999",YES,"1,069,412.689",11,1,,0,
POINT (-78.858605275688 42.915206079586),"7,498",{0B0BBB2F-18BE-49B5-A363-C2B0FBF61A77},12E 12S POLE 151,9-7-C2A-0052,52,SWC,OTHER,E FERRY,"RED w/ RED CAP, 6",,,6,CHESTER,09/27/2006 12:00:00 AM +0000,C2A,RED w/ RED CAP,YES,"1,062,292.7",NO,"1,074,553.6810000001",9,7,,0,
POINT (-78.886582041182 42.879587278556),"2,604",{E95A1307-23FE-4FE4-90AE-E7852ACDA401},17N 32E POLE 6-1; 50W DOCK A,14-1-E1A-0016,16,PARKING LOT,KENNEDY K-11,ERIE BASIN,"RED w/ RED CAP, 8",,,8,TEMPLETON,06/16/2006 12:00:00 AM +0000,E1A,RED w/ RED CAP,NO,"1,049,337.2690000001",NO,"1,067,012.682",14,1,,0,
POINT (-78.828014628412 42.952059251883),"5,224",{1C9FEBC5-51F6-4256-BBD9-3E30ED897392},24N POLE 32,3-5-A3B-0081,81,OPP 37,MUELLER,TYLER,"RED w/ RED CAP, 12",,,12,CORNELL,06/22/2005 12:00:00 AM +0000,A3B,RED w/ RED CAP,NO,"1,075,698.52",NO,"1,082,787.1699999999",3,5,,0,
POINT (-78.858840408826 42.89758023239),"1,168",{082E9268-2793-41B8-BEEF-804F03406431},,12-8-D2A-0092,92,OPP 97,MUELLER,ORANGE,"RED w/ RED CAP, 6",,,6,CARLTON,01/01/1990 12:00:00 AM +0000,D2A,RED w/ RED CAP,YES,"1,055,869.196",NO,"1,074,469.666",12,8,,0,
POINT (-78.853101815559 42.951352147186),"5,045",{E816D25F-77C3-4FDA-AD8E-1606D7C8823D},10S SWC; 8N POLE 238,3-4-A3A-0084,84,SWC,KENNEDY K-81,STERLING,"RED w/ RED CAP, 6",,,6,TACOMA,06/28/2005 12:00:00 AM +0000,A3A,RED w/ RED CAP,YES,"1,075,461.3600000001",NO,"1,076,070.1599999999",3,4,,0,
POINT (-78.872867336796 42.890911565899),698,{7434511D-02DC-46B8-80EC-3E8F79CED9A8},24N POLE 158; 66W 26N POLE 157,11-1-D1C-0002,2,439,OTHER,MAIN,"RED w/ RED CAP, 12",,,12,CHIPPEWA,09/08/2006 12:00:00 AM +0000,D1C,RED w/ RED CAP,YES,"1,053,451.432",NO,"1,070,702.7949999999",11,1,,0,
POINT (-78.820699689853 42.83472559194),"4,594",{CBE4F243-10CD-47B8-A246-9AF5CF062B47},16E 3S SEC,21-10-G2D-0023,23,SEC,HOWARD IRON,DOWNING,"RED w/ RED CAP, 12",,,12,SIBLEY,04/13/2005 12:00:00 AM +0000,G2D,RED w/ RED CAP,YES,"1,032,930.96",NO,"1,084,624.8999999999",21,10,,0,
POINT (-78.864341809446 42.934669710424),"6,128",{D7198AF4-551D-4ABD-BE10-D62591B7AB42},"20N N MEADOW, 20S SERVICE RD",6-4-B2A-0036,36,,OTHER,N MEADOW,"RED w/ RED CAP, 6",,,6,SERVICE RD,10/18/2005 12:00:00 AM +0000,B2A,RED w/ RED CAP,YES,"1,069,391.29",NO,"1,073,040.71",6,4,,0,
POINT (-78.878367807103 42.950820452374),"4,640",{2FF33C2E-08F4-47D3-8609-6B15B9EB3989},OPP POLE 1971,2-3-A2A-0032,32,,MUELLER,ELMWOOD,"RED w/ WHITE CAP, 16",,,16,HERTEL,07/15/2005 12:00:00 AM +0000,A2A,RED w/ WHITE CAP,YES,"1,075,290.3",NO,"1,069,305.3500000001",2,3,,0,
POINT (-78.872394982138 42.920401977195),"7,096",{79E4915E-CE5D-4A99-92DD-AABC8250E3D8},4E POLE 697,8-2-C1B-0010,10,697,MUELLER,LAFAYETTE,"RED w/ RED CAP, 12",,,12,ELMWOOD,07/11/2006 12:00:00 AM +0000,C1B,RED w/ RED CAP,YES,"1,064,198.727",NO,"1,070,866.291",8,2,,0,
POINT (-78.831717639319 42.870470215741),"3,551",{E361EAE8-5093-439E-87B1-7FC2CCFC84DD},1E 3S POLE 29,16-9-E3D-0027,27,29,HOWARD IRON,TROUPE,"RED w/ RED CAP, 6",,,6,SENECA,08/02/2006 12:00:00 AM +0000,E3D,RED w/ RED CAP,YES,"1,045,966.42",NO,"1,081,708.0560000001",16,9,,0,
POINT (-78.855780025646 42.892532829195),"1,595",{DDCFBC25-EEDA-4A97-A67C-2CCB7126F33D},11W NWC; 6E POLE 400,12-8-D2D-0185,185,NWC,HOWARD IRON,SYCAMORE,"RED w/ RED CAP, 6",,,6,KANE,11/09/2006 12:00:00 AM +0000,D2D,RED w/ RED CAP,YES,"1,054,027.013",NO,"1,075,283.7409999999",12,8,,0,
POINT (-78.80954676726 42.90191769484),"1,782",{4BAE0E8D-15B0-4706-9784-E202E1C70CE8},12N NWC; 3S STOP SIGN,13-6-D3B-0005,5,NWC,HOWARD IRON,WEST SHORE,"RED w/ RED CAP, 0",,,6,WOOD,04/18/2006 12:00:00 AM +0000,D3B,RED w/ RED CAP,YES,"1,057,410.6100000001",NO,"1,087,682.1299999999",13,6,,0,
POINT (-78.830256970929 42.906090732052),459,{297BD7A5-1270-4CD9-99B4-6DD7324A49B4},30W 1N NWC; 6W POLE 1332,10-7-C3D-0023,23,NWC,HOWARD IRON,GENESEE,"RED w/ RED CAP, 6",,,6,LOUISEN,07/28/2006 12:00:00 AM +0000,C3D,RED w/ RED CAP,YES,"1,058,947.0619999999",NO,"1,082,137.689",10,7,,0,
POINT (-78.881231704839 42.925023048946),"5,632",{FA01798D-3334-4522-9A92-2665C0283678},18W SWC; OPP POLE 1,5-2-B1C-0037,37,SWC,HOWARD IRON,RICHMOND,"RED w/ RED CAP, 6",,,6,MANCHESTER,08/15/2005 12:00:00 AM +0000,B1C,RED w/ RED CAP,YES,"1,065,891.1299999999",NO,"1,068,505.3300000001",5,2,,0,
POINT (-78.822635509281 42.94230733109),"5,561",{103E6073-3467-4A23-B668-688702105EFB},1W POLE 43,4-5-A4D-0078,78,43,HOWARD IRON,HEWITT,"RED w/ RED CAP, 6",,,6,PARKRIDGE,06/16/2005 12:00:00 AM +0000,A4D,RED w/ RED CAP,YES,"1,072,140.28",NO,"1,084,217.1200000001",4,5,,0,
POINT (-78.813940196207 42.955723250442),"5,394",{D96B7866-7F4C-4B96-B970-D199FB530488},30N UB HEALTH SCIENCES,4-5-A4A-0028,28,UB CAMPUS,MUELLER,MICHAEL,"RED w/ RED CAP, 12",,,12,BAILEY,06/14/2005 12:00:00 AM +0000,A4A,RED w/ RED CAP,YES,"1,077,023.22",NO,"1,086,558.75",4,5,,0,
POINT (-78.906209463247 42.956611357264),"2,098",{6DB3B1AE-217C-4BF5-9FE1-F9EB10DEDD84},3W NWC; 8N POLE 118,1-3-A1A-0038,38,NWC,OTHER,ESSER,"RED w/ RED CAP, 6",,,6,BAXTER,07/26/2005 12:00:00 AM +0000,A1A,RED w/ RED CAP,YES,"1,077,428.1899999999",NO,"1,061,859.71",1,3,,0,
POINT (-78.88084101972 42.908912316884),"7,215",{349ACE8A-5584-4F90-A58B-972A322E8A96},7E POLE 372,8-2-C1C-0048,48,372,KENNEDY K-81,BRYANT,"RED w/ RED CAP, 8",,,8,NORWOOD,07/27/2006 12:00:00 AM +0000,C1C,RED w/ RED CAP,YES,"1,060,019.219",NO,"1,068,589.2069999999",8,2,,0,
POINT (-78.812804425458 42.901482096831),"1,779",{0D36D496-044F-42F4-9557-4F7E92ED2ED5},12N NWC; 3N STOP SIGN,13-6-D3B-0002,2,NWC,HOWARD IRON,WEST SHORE,"RED w/ RED CAP, 0",,,6,BRINKMAN,04/18/2006 12:00:00 AM +0000,D3B,RED w/ RED CAP,YES,"1,057,254.22",NO,"1,086,808.8700000001",13,6,,0,
POINT (-78.826827470316 42.925010933414),"6,897",{2D9AFAC1-D2C9-46CA-B398-E1F78CAF637C},49S 25W POLE 101,7-6-B3D-0071,71,SWC,KENNEDY JUMBO,DEERFIELD,"RED w/ RED CAP, 6",,,6,LITCHFIELD,03/24/2006 12:00:00 AM +0000,B3D,RED w/ RED CAP,YES,"1,065,839.8300000001",NO,"1,083,076.45",7,6,,0,
POINT (-78.866265185305 42.898589020118),"1,117",{71A235A3-ED56-482B-96E8-8EEDFC07FF15},30N POLE 81,12-8-D2A-0040,40,NEC,KENNEDY K-81,OAK,"RED w/ RED CAP, 6",,,6,CARLTON,01/01/1990 12:00:00 AM +0000,D2A,RED w/ RED CAP,YES,"1,056,243.446",NO,"1,072,481.4350000001",12,8,,0,
POINT (-78.876904180521 42.911345148074),"7,207",{75B6FB8F-DCA9-4739-AE82-835B5A715D75},22E NEC; 2E NO LEFT TURN SIGN,8-2-C1C-0040,40,NEC,MUELLER,ELMWOOD,"RED w/ WHITE CAP, 36",,,36,W UTICA,07/27/2006 12:00:00 AM +0000,C1C,RED w/ WHITE CAP,YES,"1,060,902.1569999999",NO,"1,069,646.9820000001",8,2,,0,
POINT (-78.90455610119 42.941063635318),"2,443",{70959E7B-3F1F-4E33-84FD-DFDFB8660732},6S SEC,1-3-A1D-0107,107,SEC,OTHER,HERTEL,"RED w/ RED CAP, 8",,,8,DEARBORN,08/02/2005 12:00:00 AM +0000,A1D,RED w/ RED CAP,YES,"1,071,760.1100000001",NO,"1,062,280.6599999999",1,3,,0,
POINT (-78.830252184338 42.883870610183),"3,334",{90BA85B6-82AE-46D8-863C-C61AB3256887},3W 7S POLE 254,16-9-E3A-0037,37,248,MUELLER,LEWIS,"RED w/ RED CAP, 10",,,10,HOWARD,08/01/2006 12:00:00 AM +0000,E3A,RED w/ RED CAP,YES,"1,050,848.99",NO,"1,082,115.2169999999",16,9,,0,
POINT (-78.895492835282 42.933440443731),"5,897",{30BD9A89-C6D4-4C18-B4BC-3F3AAAD4486B},26W 48N NWC BLDG 135 TONAWANDA ST,5-3-B1A-0122,122,135,HOWARD IRON,TONAWANDA,"RED w/ YELOW CAP, 6",,,6,WATTS,09/28/2006 12:00:00 AM +0000,B1A,RED w/ YELOW CAP,NO,"1,068,972.6969999999",NO,"1,064,697.142",5,3,,0,
